champion,cluster,totalGames,winRate,avgKDA,avgDamage
Ambessa,1,7286,49.89020038429865,2.058303291231164,23048.037194619817
Renekton,1,7050,49.17730496453901,1.83879413334689,21264.29375886525
Irelia,1,6822,50.89416593374377,1.5903780364481355,22252.606273819994
Sett,1,6758,50.11837821840781,1.672532588454376,23866.027670908552
Mordekaiser,1,6558,51.06739859713328,1.8645506897013526,23246.40088441598
XinZhao,1,6332,49.93682880606444,2.530877096508111,19922.87207833228
Hecarim,1,6146,50.374227139602986,2.950598139122729,19552.216889033516
Warwick,1,6093,50.828819957328086,2.148429146086868,19488.29574922042
Riven,1,5872,51.19209809264306,1.9074661111614288,19829.647990463214
Darius,1,5733,49.78196406767835,1.8221477514137816,20505.828536542824
Fiora,1,5714,52.48512425621281,1.6111843991970176,23265.349842492124
MasterYi,1,5284,52.15745647236941,2.2844309522334427,21272.674299772898
Wukong,1,5209,50.16317911307353,2.6830102622576963,18778.802073334613
Kindred,1,4848,50.96947194719472,2.511056511056511,22268.78424092409
Jayce,1,4723,48.80372644505611,1.9354265402843605,25289.74274825323
Udyr,1,4544,50.286091549295776,2.5429295134946277,19861.027068661973
Camille,1,4442,50.40522287257991,1.9695676014413288,22504.13619990995
Kayle,1,4362,49.4268684089867,1.8452230596862904,20625.707015130673
Gangplank,1,3971,48.92974061949131,2.2204610298446625,26373.68975069252
Nasus,1,3927,48.663101604278076,1.8953361177406525,19757.582123758595
Vi,1,3557,46.69665448411583,2.4035898696828126,16036.229969075062
Tryndamere,1,3531,50.552251486830926,1.731570714970483,20816.719342962333
Ivern,1,3493,50.81591754938448,3.6967715845521334,12525.951044947036
Kled,1,3486,50.80321285140562,2.0658506731946145,22426.526678141137
Yorick,1,3350,48.92537313432836,1.6889140271493215,22607.97104477612
Rumble,1,3080,49.51298701298701,2.294686273361064,25411.214935064934
Olaf,1,2621,50.97291110263258,1.8583952270790212,23456.070202212897
Gnar,1,2456,47.76058631921824,1.9251670044284321,23177.27890879479
